,xB,t,Q2,phi,deg/rad,obs,value,units,stat+syst_u,col,lepton,E_lepton,hadron,E_hadron
176,0.239253,-0.657794,1.22956,4.74036,deg,ALU,-0.138076,none,0.20933,CLAS,e-,10.6,p,0.93827208816
177,0.237553,-0.629447,1.22461,5.3604,deg,ALU,-0.294677,none,0.158553,CLAS,e-,10.6,p,0.93827208816
178,0.233944,-0.669069,1.22502,5.77274,deg,ALU,-0.122697,none,0.109817,CLAS,e-,10.6,p,0.93827208816
179,0.0915199,-1.0086,1.16138,0.0983527,deg,ALU,0.0744695,none,0.0220526,CLAS,e-,10.6,p,0.93827208816
180,0.0946136,-0.93586,1.17489,0.275895,deg,ALU,-0.0100643,none,0.0274823,CLAS,e-,10.6,p,0.93827208816
181,0.088328,-0.947211,1.2006,0.446156,deg,ALU,0.117237,none,0.0586395,CLAS,e-,10.6,p,0.93827208816
182,0.104255,-1.01744,1.18971,0.854116,deg,ALU,-0.0662802,none,0.140575,CLAS,e-,10.6,p,0.93827208816
183,0.0969952,-1.1011,1.16412,1.42775,deg,ALU,0.320182,none,0.0845165,CLAS,e-,10.6,p,0.93827208816
184,0.100688,-1.37973,1.1571,2.05441,deg,ALU,0.151726,none,0.163511,CLAS,e-,10.6,p,0.93827208816
185,0.09682,-1.05021,1.16513,2.71569,deg,ALU,0.118918,none,0.132329,CLAS,e-,10.6,p,0.93827208816
186,0.0998131,-1.04696,1.15437,3.24022,deg,ALU,-0.0195084,none,0.120093,CLAS,e-,10.6,p,0.93827208816
187,0.101001,-1.26326,1.15153,4.00825,deg,ALU,-0.408619,none,0.236788,CLAS,e-,10.6,p,0.93827208816
188,0.0982814,-1.06927,1.14439,4.60505,deg,ALU,0.128651,none,0.120111,CLAS,e-,10.6,p,0.93827208816
189,0.106922,-0.989553,1.17096,5.05513,deg,ALU,0.151543,none,0.0994825,CLAS,e-,10.6,p,0.93827208816
190,0.0906071,-1.02756,1.19637,5.73377,deg,ALU,-0.206049,none,0.125064,CLAS,e-,10.6,p,0.93827208816
191,0.0953786,-0.905977,1.1889,5.95232,deg,ALU,-0.0174061,none,0.0307074,CLAS,e-,10.6,p,0.93827208816
192,0.0930728,-1.00144,1.15655,6.14777,deg,ALU,-0.0321333,none,0.0194224,CLAS,e-,10.6,p,0.93827208816
193,0.15307,-1.0633,1.2477,0.164439,deg,ALU,-0.0499286,none,0.0519026,CLAS,e-,10.6,p,0.93827208816
194,0.151802,-1.04026,1.25032,0.312919,deg,ALU,0.101795,none,0.0705833,CLAS,e-,10.6,p,0.93827208816
195,0.171353,-1.04893,1.21036,0.73457,deg,ALU,-0.125322,none,0.105938,CLAS,e-,10.6,p,0.93827208816
196,0.162531,-1.11257,1.18129,1.12461,deg,ALU,-0.111066,none,0.131021,CLAS,e-,10.6,p,0.93827208816
197,0.162837,-1.13458,1.18985,2.85213,deg,ALU,0.0150266,none,0.127203,CLAS,e-,10.6,p,0.93827208816
198,0.158404,-1.21649,1.22548,3.48852,deg,ALU,-0.204731,none,0.188634,CLAS,e-,10.6,p,0.93827208816
199,0.16724,-1.08644,1.18359,4.11537,deg,ALU,0.296705,none,0.175919,CLAS,e-,10.6,p,0.93827208816
200,0.158923,-1.11202,1.18044,4.75806,deg,ALU,-0.068472,none,0.192555,CLAS,e-,10.6,p,0.93827208816
201,0.156269,-1.08396,1.22565,5.3646,deg,ALU,-0.0816408,none,0.166549,CLAS,e-,10.6,p,0.93827208816
202,0.152429,-1.06795,1.24909,5.94068,deg,ALU,-0.030561,none,0.0673885,CLAS,e-,10.6,p,0.93827208816
203,0.150607,-1.04361,1.23629,6.11322,deg,ALU,0.0350375,none,0.0464439,CLAS,e-,10.6,p,0.93827208816
204,0.119462,-0.146889,1.55971,0.0971024,deg,ALU,0.0192776,none,0.0258981,CLAS,e-,10.6,p,0.93827208816
205,0.11794,-0.149001,1.56827,0.283699,deg,ALU,0.0742729,none,0.0231447,CLAS,e-,10.6,p,0.93827208816
206,0.11477,-0.151686,1.57653,0.471181,deg,ALU,0.0847095,none,0.0214654,CLAS,e-,10.6,p,0.93827208816
207,0.110147,-0.153927,1.5832,0.657506,deg,ALU,0.110276,none,0.0258141,CLAS,e-,10.6,p,0.93827208816
208,0.104702,-0.156443,1.5741,0.840849,deg,ALU,0.193822,none,0.0272789,CLAS,e-,10.6,p,0.93827208816
209,0.101216,-0.155785,1.55108,1.02343,deg,ALU,0.208435,none,0.0397022,CLAS,e-,10.6,p,0.93827208816
