xB,t,Q2,phi,deg/rad,bin,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0.103,-0.201,1.625,157.4,deg,19,d4SigUU,0.48062,nb GeV^-4,0.038868,0.15756,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,172.5,deg,19,d4SigUU,0.43685,nb GeV^-4,0.049668,0.15738,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,195.2,deg,19,d4SigUU,0.49628,nb GeV^-4,0.076011,0.21023,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,271.4,deg,19,d4SigUU,1.0677,nb GeV^-4,0.12467,0.41823,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,293,deg,19,d4SigUU,1.2995,nb GeV^-4,0.10801,0.43021,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,308.1,deg,19,d4SigUU,2.1384,nb GeV^-4,0.15595,0.69179,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,323.2,deg,19,d4SigUU,4.3673,nb GeV^-4,0.38468,2.0028,CLAS,e-,10.6,p,0.938272088
0.103,-0.201,1.625,338.5,deg,19,d4SigUU,11.855,nb GeV^-4,2.2329,4.5906,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,36.6,deg,20,d4SigUU,1.7025,nb GeV^-4,0.11428,0.66671,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,51.8,deg,20,d4SigUU,0.95581,nb GeV^-4,0.061367,0.31002,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,73,deg,20,d4SigUU,0.50201,nb GeV^-4,0.044025,0.17096,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,112.2,deg,20,d4SigUU,0.19023,nb GeV^-4,0.061156,0.066078,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,134.4,deg,20,d4SigUU,0.17522,nb GeV^-4,0.013852,0.057283,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,157.4,deg,20,d4SigUU,0.17477,nb GeV^-4,0.015492,0.057486,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,180,deg,20,d4SigUU,0.18927,nb GeV^-4,0.017754,0.061795,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,247.8,deg,20,d4SigUU,0.24195,nb GeV^-4,0.052768,0.093044,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,262.8,deg,20,d4SigUU,0.16769,nb GeV^-4,0.032238,0.072965,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,277.9,deg,20,d4SigUU,0.41427,nb GeV^-4,0.060057,0.13788,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,293,deg,20,d4SigUU,0.56305,nb GeV^-4,0.054177,0.213,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,308.2,deg,20,d4SigUU,0.92973,nb GeV^-4,0.059855,0.35183,CLAS,e-,10.6,p,0.938272088
0.102,-0.328,1.633,323.5,deg,20,d4SigUU,1.7446,nb GeV^-4,0.11356,0.8641,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,36.5,deg,21,d4SigUU,0.65485,nb GeV^-4,0.03611,0.23588,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,51.8,deg,21,d4SigUU,0.32675,nb GeV^-4,0.024561,0.10989,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,67,deg,21,d4SigUU,0.20089,nb GeV^-4,0.040807,0.071279,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,127.4,deg,21,d4SigUU,0.064727,nb GeV^-4,0.014856,0.02266,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,142.4,deg,21,d4SigUU,0.069648,nb GeV^-4,0.0095582,0.023366,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,157.5,deg,21,d4SigUU,0.04623,nb GeV^-4,0.0066496,0.018844,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,172.5,deg,21,d4SigUU,0.05788,nb GeV^-4,0.0086418,0.019174,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,195.2,deg,21,d4SigUU,0.054343,nb GeV^-4,0.013208,0.018086,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,240.9,deg,21,d4SigUU,0.060924,nb GeV^-4,0.011924,0.020341,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,262.8,deg,21,d4SigUU,0.091604,nb GeV^-4,0.01316,0.030663,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,277.9,deg,21,d4SigUU,0.13626,nb GeV^-4,0.019122,0.053481,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,293,deg,21,d4SigUU,0.1992,nb GeV^-4,0.030696,0.069432,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,308.2,deg,21,d4SigUU,0.33486,nb GeV^-4,0.026115,0.11408,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,323.5,deg,21,d4SigUU,0.6731,nb GeV^-4,0.039319,0.24643,CLAS,e-,10.6,p,0.938272088
0.109,-0.473,1.605,339.1,deg,21,d4SigUU,1.5926,nb GeV^-4,0.26397,0.62606,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,21.3,deg,22,d4SigUU,0.58554,nb GeV^-4,0.063295,0.21604,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,36.6,deg,22,d4SigUU,0.28912,nb GeV^-4,0.021892,0.10063,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,51.8,deg,22,d4SigUU,0.16953,nb GeV^-4,0.021665,0.064608,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,134.5,deg,22,d4SigUU,0.026273,nb GeV^-4,0.0060289,0.0099609,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,157.4,deg,22,d4SigUU,0.03367,nb GeV^-4,0.006757,0.012517,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,187.7,deg,22,d4SigUU,0.016791,nb GeV^-4,0.0045817,0.0061165,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,249.6,deg,22,d4SigUU,0.030273,nb GeV^-4,0.0052703,0.010516,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,286.9,deg,22,d4SigUU,0.062096,nb GeV^-4,0.013307,0.023161,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,308.2,deg,22,d4SigUU,0.090821,nb GeV^-4,0.016509,0.039946,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,323.4,deg,22,d4SigUU,0.25331,nb GeV^-4,0.020487,0.090319,CLAS,e-,10.6,p,0.938272088
0.109,-0.674,1.599,338.7,deg,22,d4SigUU,0.65603,nb GeV^-4,0.065242,0.23778,CLAS,e-,10.6,p,0.938272088
0.133,-0.129,1.328,7.4,deg,23,d4SigUU,3.5934,nb GeV^-4,1.2193,1.5717,CLAS,e-,10.6,p,0.938272088
0.133,-0.129,1.328,28.8,deg,23,d4SigUU,3.0544,nb GeV^-4,0.94612,1.4038,CLAS,e-,10.6,p,0.938272088
0.133,-0.129,1.328,95.4,deg,23,d4SigUU,0.64057,nb GeV^-4,0.17907,0.29633,CLAS,e-,10.6,p,0.938272088
0.133,-0.129,1.328,141.6,deg,23,d4SigUU,0.28903,nb GeV^-4,0.071363,0.10221,CLAS,e-,10.6,p,0.938272088
0.133,-0.129,1.328,195.6,deg,23,d4SigUU,0.29185,nb GeV^-4,0.077723,0.1458,CLAS,e-,10.6,p,0.938272088
0.133,-0.197,1.327,104.2,deg,24,d4SigUU,0.30187,nb GeV^-4,0.062854,0.11036,CLAS,e-,10.6,p,0.938272088
